Date,Game #,Result,tymelxss_Grade,tymelxss_Points,tymelxss_Rebounds,tymelxss_Assists,tymelxss_FGM,AbuTalibaan_Grade,AbuTalibaan_Points,AbuTalibaan_Rebounds,AbuTalibaan_Assists,AbuTalibaan_FGM,Glo4Prezz_Grade,Glo4Prezz_Points,Glo4Prezz_Rebounds,Glo4Prezz_Assists,Glo4Prezz_FGM,Yurselln_Grade,Yurselln_Points,Yurselln_Rebounds,Yurselln_Assists,Yurselln_FGM,MajinKemboi_Grade,MajinKemboi_Points,MajinKemboi_Rebounds,MajinKemboi_Assists,MajinKemboi_FGM,opp1_Grade,opp1_Points,opp1_Rebounds,opp1_Assists,opp1_FGM,opp2_Grade,opp2_Points,opp2_Rebounds,opp2_Assists,opp2_FGM,opp3_Grade,opp3_Points,opp3_Rebounds,opp3_Assists,opp3_FGM,opp4_Grade,opp4_Points,opp4_Rebounds,opp4_Assists,opp4_FGM,opp5_Grade,opp5_Points,opp5_Rebounds,opp5_Assists,opp5_FGM
11/29 12:23pm,1,W,B+,14,1,2,5,B,16,1,4,8,A-,17,2,4,7,B,3,1,3,1,A-,18,15,4,8,A-,13,1,6,4,A-,9,0,6,3,B,5,1,4,2,B+,12,5,2,5,A,27,8,4,10
11/29 1:08pm,2,L,A-,12,2,5,4,B-,12,0,2,6,A,11,1,10,4,B+,11,1,2,4,B,19,9,0,8,A-,10,0,9,4,A-,23,2,3,11,A-,12,3,7,5,B+,12,8,1,6,A+,24,8,10,11
11/29 1:42pm,3,L,A-,14,1,5,5,B+,11,0,2,5,A-,25,2,5,10,B+,9,4,3,3,B+,10,12,2,4,A-,10,3,8,4,A-,23,2,2,9,B+,12,5,4,5,A-,22,6,7,7,B,12,10,0,5
12/25 5:37pm,4,L,B+,12,2,1,4,A-,26,0,4,11,A-,13,0,6,4,B+,13,4,3,4,A,12,10,8,5,A,33,1,5,11,A-,16,2,2,6,A-,13,2,6,5,A-,9,5,7,4,A-,13,10,4,6
12/27 2:39pm,5,W,A,23,0,7,8,B+,15,0,2,6,A-,20,1,5,8,A-,10,4,5,4,B+,15,8,4,7,A-,18,0,4,7,B,10,0,4,5,A-,21,0,0,8,B-,5,0,2,2,A+,17,5,14,7
12/27 3:04pm,6,W,B+,5,0,12,2,A-,26,3,1,11,A-,17,3,3,6,A-,18,3,2,7,B,6,12,5,3,B+,20,0,5,9,A-,7,2,6,3,B,9,1,0,4,A-,13,6,5,5,C+,4,6,1,2
12/27 3:32pm,7,W,A-,15,0,9,5,B+,17,1,1,8,B+,15,1,4,5,B,10,4,1,4,A,8,11,7,4,B-,19,1,10,9,B+,8,1,0,3,B+,12,0,2,5,B,5,6,1,2,A-,11,9,4,5
12/27 4:01pm,8,W,B,6,0,5,2,B+,24,1,2,10,A-,19,1,5,7,A-,15,4,1,5,A+,16,11,10,7,B-,9,1,5,4,B+,12,4,4,4,A-,29,0,0,10,B,0,12,5,0,C,4,11,1,2
12/28 10:30pm,9,W,A,24,1,8,8,A-,24,0,3,10,A+,22,4,8,7,B,15,6,4,6,A+,18,21,11,8,D,13,2,5,4,C-,4,3,2,2,D-,6,5,2,2,B,21,4,5,9,C-,4,10,2,2
12/28 11:17pm,10,L,A-,26,1,4,9,B-,10,0,3,5,A-,18,1,3,6,B,6,1,1,2,B+,4,11,5,2,A-,13,0,6,4,A-,12,2,5,5,B+,15,4,3,6,A-,21,7,3,8,B+,8,9,2,3
12/28 11:46pm,11,L,A-,27,0,3,9,A-,21,0,5,9,A,25,1,8,8,B,9,0,5,4,A,12,10,7,5,A+,28,0,21,10,A,24,1,4,9,B-,6,1,0,2,B+,20,4,1,7,B+,17,8,4,8
12/31 9:45pm,12,L,B,6,0,5,2,B+,25,0,3,11,B+,7,1,5,2,A-,15,2,3,6,A,14,16,8,6,A-,24,1,6,10,B+,29,1,5,11,B+,12,2,1,4,C+,7,8,5,3,A-,2,16,6,1
12/31 10:14pm,13,L,B+,13,0,3,4,A-,19,0,4,8,A-,15,1,5,5,B+,18,3,1,7,B,2,12,5,1,A,12,1,13,5,A-,14,0,6,4,B+,10,1,2,5,A-,15,8,5,6,A-,26,9,4,11
01/01 12:44am,14,W,A-,24,0,1,9,A-,14,2,7,6,A,24,1,4,8,B+,12,1,3,4,B-,11,11,4,4,A-,5,2,7,2,D+,13,0,1,5,A-,35,2,3,14,B,4,2,3,2,A-,9,11,8,4
01/01 1:13am,15,L,A-,21,0,4,7,B,4,2,6,2,A-,16,1,5,6,B,10,0,4,3,A-,15,10,3,6,B+,12,0,9,6,B+,9,1,4,2,B+,16,1,0,6,A-,15,1,2,5,A-,18,16,3,8
01/01 1:46am,16,W,B+,12,1,4,4,A-,17,2,3,7,A-,15,3,6,5,A,25,3,2,8,A-,11,12,7,5,A-,20,0,5,8,A,17,3,9,5,A-,17,2,2,7,B,10,4,0,3,B+,6,6,2,2
01/01 2:15am,17,W,A-,20,0,5,6,B,10,0,3,4,A,21,1,5,7,B,7,0,3,3,A-,15,9,3,6,A,14,1,14,5,B,10,0,2,3,A-,23,3,2,11,B-,7,5,0,3,B+,15,7,1,6
01/01 2:45am,18,L,B+,17,0,4,6,B+,14,0,5,6,A-,15,1,7,5,B+,15,2,3,5,A-,18,7,4,8,B,10,0,3,3,A,22,0,7,9,A,29,2,8,11,A-,14,3,4,6,B,9,4,1,4
